Name,Matches,Wins,Loss,Draws,Points,NRR
RCB,0,0,0,0,0,0
CSK,0,0,0,0,0,0
SRH,0,0,0,0,0,0
RR,0,0,0,0,0,0
KKR,0,0,0,0,0,0
PK,0,0,0,0,0,0
DC,0,0,0,0,0,0
MI,0,0,0,0,0,0
GT,0,0,0,0,0,0
LSG,0,0,0,0,0,0
